age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
47,entrepreneur,divorced,9,0,0,0,may,tue,184,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
45,blue-collar,married,6,0,0,0,apr,mon,293,1,1,1,success,-1.8,93.075,-47.1,1.405,5099.1,0
36,services,divorced,9,1,0,0,may,tue,255,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
49,admin.,single,16,0,0,1,may,fri,201,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
27,admin.,single,12,0,0,1,may,wed,444,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
27,admin.,married,12,0,0,1,may,wed,173,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,admin.,single,16,0,0,0,jun,mon,151,1,999,1,failure,-2.9,92.963,-40.8,1.266,5076.2,0
38,entrepreneur,married,17,1,0,1,nov,wed,519,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
34,technician,single,16,0,0,0,aug,tue,136,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
43,management,married,16,0,0,0,aug,tue,175,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
54,blue-collar,married,4,1,1,0,aug,wed,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
54,blue-collar,married,4,0,1,0,may,fri,139,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
30,unemployed,married,12,0,1,0,nov,tue,155,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
27,blue-collar,single,9,0,0,0,jul,thu,86,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
65,admin.,divorced,16,0,0,0,nov,fri,142,2,999,0,nonexistent,-3.4,92.649,-30.1,0.718,5017.5,0
44,blue-collar,married,4,1,0,1,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,services,married,12,1,0,1,may,wed,276,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
32,admin.,single,16,0,1,1,jun,fri,13,11,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
36,technician,single,17,1,0,0,aug,mon,62,1,999,1,failure,-2.9,92.201,-31.4,0.821,5076.2,0
33,services,single,12,1,0,1,may,thu,789,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
43,management,married,16,0,0,0,jun,thu,185,1,999,0,nonexistent,-1.7,94.055,-39.8,0.742,4991.6,0
58,blue-collar,married,4,1,0,1,jul,thu,48,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,management,married,16,0,1,0,nov,wed,391,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
61,retired,married,16,0,0,1,sep,mon,147,1,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,0
46,technician,divorced,16,0,0,1,jun,fri,1288,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
29,management,married,16,1,0,0,aug,thu,75,1,4,2,success,-2.9,92.201,-31.4,0.873,5076.2,0
36,technician,married,17,0,1,1,may,tue,95,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
46,blue-collar,married,4,0,0,1,may,thu,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
36,technician,married,17,1,0,0,may,thu,258,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
20,blue-collar,married,4,0,1,0,jul,tue,285,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
44,admin.,married,9,1,0,0,may,mon,55,1,999,2,failure,-1.8,92.893,-46.2,1.299,5099.1,0
51,admin.,married,16,1,0,0,aug,tue,112,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
34,blue-collar,married,9,1,0,1,may,fri,1054,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
58,blue-collar,married,6,1,1,1,jul,thu,31,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
36,admin.,single,12,0,0,0,apr,fri,140,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
51,unemployed,divorced,16,1,1,1,jun,wed,110,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
34,admin.,divorced,16,0,0,1,may,tue,382,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
51,technician,married,12,0,0,0,aug,wed,108,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
28,admin.,single,16,1,0,0,aug,fri,119,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,0
42,admin.,divorced,16,0,0,0,aug,tue,56,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
36,admin.,married,16,1,0,1,nov,mon,1735,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
22,services,single,12,0,0,1,jun,wed,156,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
41,admin.,single,12,0,1,1,may,mon,36,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
55,unemployed,married,12,1,1,0,jul,fri,730,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
55,blue-collar,married,4,1,0,0,jul,mon,108,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
32,technician,married,17,0,0,0,may,wed,65,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
38,unemployed,single,16,1,1,0,aug,tue,153,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
45,technician,married,17,0,0,1,jun,fri,124,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
34,blue-collar,married,4,1,0,1,jun,tue,239,8,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
36,blue-collar,single,9,0,1,1,nov,wed,590,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
38,blue-collar,married,9,0,0,0,apr,mon,357,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,0
39,unemployed,married,16,0,0,1,jun,thu,21,8,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
47,admin.,married,16,1,0,0,nov,fri,45,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
31,technician,married,16,1,1,0,aug,wed,156,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
36,management,married,16,1,0,1,may,wed,8,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
51,blue-collar,divorced,9,0,1,0,may,wed,29,6,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
30,entrepreneur,single,16,1,0,0,jul,thu,11,12,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
